Tool,File,Line,Severity,Rule,Message
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CourseFaqDto.cs,14,Warning,CS8618,Non-nullable property 'FaqAnswer' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserRegisterDto.cs,23,Warning,CS8618,Non-nullable property 'FullName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserRegisterDto.cs,25,Warning,CS8618,Non-nullable property 'Email' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserRegisterDto.cs,27,Warning,CS8618,Non-nullable property 'PhoneNumber' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserRegisterDto.cs,29,Warning,CS8618,Non-nullable property 'Password' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserRegisterDto.cs,31,Warning,CS8618,Non-nullable property 'ConfirmPassword' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserLoginDto.cs,11,Warning,CS8618,Non-nullable property 'Email' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserLoginDto.cs,12,Warning,CS8618,Non-nullable property 'Password' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserDto.cs,12,Warning,CS8618,Non-nullable property 'FullName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserDto.cs,13,Warning,CS8618,Non-nullable property 'Email' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CreateCourseDto.cs,15,Warning,CS8618,Non-nullable property 'CourseTitle' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CreateCourseDto.cs,16,Warning,CS8618,Non-nullable property 'CourseDescription' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CreateCourseDto.cs,17,Warning,CS8618,Non-nullable property 'Level' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CreateCourseDto.cs,18,Warning,CS8618,Non-nullable property 'Duration' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CreateCourseDto.cs,19,Warning,CS8618,Non-nullable property 'PreRequirements' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CreateCourseDto.cs,20,Warning,CS8618,Non-nullable property 'SkillsYouGain' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
