"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"NcssCount","pmd",3,"Recommended,Apex,Custom","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls",33,19,100,6,"The method 'runScan(String,String,String)' has a NCSS line count of 41 (limit: 40).","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_design.html#ncsscount"
"NcssCount","pmd",3,"Recommended,Apex,Custom","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls",204,19,264,6,"The method 'getReportPage(String,Integer,Integer,String,String,String)' has a NCSS line count of 46 (limit: 40).","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_design.html#ncsscount"
"AnnotationsNamingConventions","pmd",4,"Recommended,CodeStyle,Apex","project/Code Scan/force-app/main/default/classes/ZipScanService.cls",85,5,85,26,"The annotation @future should be in PascalCase: @Future","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_codestyle.html#annotationsnamingconventions"
"AvoidFutureAnnotation","pmd",4,"Recommended,BestPractices,Apex","project/Code Scan/force-app/main/default/classes/ZipScanService.cls",85,5,85,26,"Usage of @Future annotation should be limited. Consider implementing the Queueable interface instead.","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_bestpractices.html#avoidfutureannotation"
"@salesforce-ux/slds/no-deprecated-classes-slds2","eslint",3,"Recommended,SLDS,ErrorProne,HTML","project/Code Scan/force-app/main/default/lwc/remoteScanner/remoteScanner.html",41,51,41,75,"The class slds-theme_alert-texture isn't available in SLDS 2. Update it to a class supported in SLDS 2. See lightningdesignsystem.com for more information.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-deprecated-classes-slds2"
"@salesforce-ux/slds/no-deprecated-classes-slds2","eslint",3,"Recommended,SLDS,ErrorProne,HTML","project/Code Scan/force-app/main/default/lwc/remoteScanner/remoteScanner.html",49,51,49,75,"The class slds-theme_alert-texture isn't available in SLDS 2. Update it to a class supported in SLDS 2. See lightningdesignsystem.com for more information.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-deprecated-classes-slds2"
"@salesforce-ux/slds/modal-close-button-issue","eslint",3,"Recommended,SLDS,ErrorProne,HTML","project/Code Scan/force-app/main/default/lwc/remoteScanner/remoteScanner.html",114,19,114,98,"Remove the slds-button_icon-inverse class from the modal close button in components that use the SLDS modal blueprint.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#modal-close-button-issue"
