"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"@salesforce-ux/slds/no-deprecated-classes-slds2","eslint",3,"Recommended,SLDS,ErrorProne,HTML","project/Code Test Scan/Code Test Scan/lwc/remoteScanner/remoteScanner.html",41,51,41,75,"The class slds-theme_alert-texture isn't available in SLDS 2. Update it to a class supported in SLDS 2. See lightningdesignsystem.com for more information.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-deprecated-classes-slds2"
"@salesforce-ux/slds/no-deprecated-classes-slds2","eslint",3,"Recommended,SLDS,ErrorProne,HTML","project/Code Test Scan/Code Test Scan/lwc/remoteScanner/remoteScanner.html",49,51,49,75,"The class slds-theme_alert-texture isn't available in SLDS 2. Update it to a class supported in SLDS 2. See lightningdesignsystem.com for more information.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-deprecated-classes-slds2"
"@salesforce-ux/slds/modal-close-button-issue","eslint",3,"Recommended,SLDS,ErrorProne,HTML","project/Code Test Scan/Code Test Scan/lwc/remoteScanner/remoteScanner.html",114,19,114,98,"Remove the slds-button_icon-inverse class from the modal close button in components that use the SLDS modal blueprint.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#modal-close-button-issue"
