"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"NcssCount","pmd",3,"Recommended,Apex,Custom","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls",33,19,100,6,"The method 'runScan(String,String,String)' has a NCSS line count of 41 (limit: 40).","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_design.html#ncsscount"
"NcssCount","pmd",3,"Recommended,Apex,Custom","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls",204,19,264,6,"The method 'getReportPage(String,Integer,Integer,String,String,String)' has a NCSS line count of 46 (limit: 40).","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_design.html#ncsscount"
"AnnotationsNamingConventions","pmd",4,"Recommended,CodeStyle,Apex","project/Code Scan/force-app/main/default/classes/ZipScanService.cls",85,5,85,26,"The annotation @future should be in PascalCase: @Future","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_codestyle.html#annotationsnamingconventions"
"AvoidFutureAnnotation","pmd",4,"Recommended,BestPractices,Apex","project/Code Scan/force-app/main/default/classes/ZipScanService.cls",85,5,85,26,"Usage of @Future annotation should be limited. Consider implementing the Queueable interface instead.","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_bestpractices.html#avoidfutureannotation"
