"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1043,21,1043,32,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"no-undef","eslint",2,"Recommended,ErrorProne,JavaScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1049,53,1049,59,"'errors' is not defined.","https://eslint.org/docs/latest/rules/no-undef"
"no-unused-vars","eslint",2,"Recommended,ErrorProne,JavaScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1061,17,1061,35,"'tinServiceLocation' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars"
"no-unused-vars","eslint",2,"Recommended,ErrorProne,JavaScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1066,21,1066,38,"'iscaseStatusMatch' is assigned a value but never used.","https://eslint.org/docs/latest/rules/no-unused-vars"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1139,9,1139,20,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"no-console","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1170,9,1170,20,"Unexpected console statement. Only these console methods are allowed: warn, error.","https://eslint.org/docs/latest/rules/no-console"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1177,60,1177,62,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1178,47,1178,49,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1181,55,1181,57,"Expected '!==' and instead saw '!='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1187,72,1187,74,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1187,134,1187,136,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
