"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"19","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","204","The method 'getReportPage(String, Integer, Integer, String, String, String)' has a cyclomatic complexity of 27.","Design","CyclomaticComplexity"
"20","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","353","The method 'getFixSuggestions' has a Standard Cyclomatic Complexity of 10.","Design","StdCyclomaticComplexity"
"21","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","353","The method 'getFixSuggestions()' has an NCSS line count of 46","Design","NcssMethodCount"
"22","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","353","The method 'getFixSuggestions(String)' has a cognitive complexity of 16, current threshold is 15","Design","CognitiveComplexity"
"23","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","353","The method 'getFixSuggestions(String)' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"1","","project/Code Scan/force-app/main/default/classes/OpenAIFixSuggestionService.cls","3","39","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","","project/Code Scan/force-app/main/default/classes/OpenAIFixSuggestionService.cls","3","57","Suggest named credentials for authentication","Security","ApexSuggestUsingNamedCred"
"1","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","20","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"2","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","20","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"3","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","21","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"4","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","21","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"5","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","27","Validate CRUD permission before SOQL/DML operation or enforce user mode","Security","ApexCRUDViolation"
"6","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","35","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
